First,Last ,Traprock,Soapstone,Goodwin,NipSouth,Solstice,Peoples,Macedonia,T2ACure,Tunxis,NipMar,Mohawk,Bimblers,Total
Audra,Cannizzaro,72.1,*,*,*,*,*,*,,,,,,72.1
Beth,Salonia,*,*,*,*,71.69,*,*,,,,,,71.69
Elizabeth,Allen,71.12,*,*,*,*,*,*,,,,,,71.12
Kate,Barry,71,*,*,*,*,*,*,,,,,,71
Lilly,Dudek,*,*,*,*,*,*,70.89,,,,,,70.89
Tracey,Clark,*,*,*,*,*,70.69,*,,,,,,70.69
Walker,Holmes,70.45,*,*,*,*,*,*,,,,,,70.45
Monica,Allen,*,*,70.34,*,*,*,*,,,,,,70.34
Rebecca,Byler,*,*,*,70.32,*,*,*,,,,,,70.32
Erika,Lebaron,*,*,70.15,*,*,*,*,,,,,,70.15
Miranda,Emaus,*,*,*,*,*,*,69.94,,,,,,69.94
Micaela,Leighton,*,*,*,*,*,69.83,*,,,,,,69.83
Jill,Lizotte,68.75,*,*,*,*,*,*,,,,,,68.75
Kat,Blakeley,68.05,*,*,*,*,*,*,,,,,,68.05
Katya,Divari,*,67.89,*,*,*,*,*,,,,,,67.89
Kate,Plummer,*,*,*,*,67.81,*,*,,,,,,67.81
Crystal,Maher,*,*,*,*,67.38,*,*,,,,,,67.38
Lisa,Wawrzynowski,67.21,*,*,*,*,*,*,,,,,,67.21
Sarah,Prineas,*,*,*,67.19,*,*,*,,,,,,67.19
Natalie,Leppert,*,*,*,*,67.16,*,*,,,,,,67.16
Lilly,Tartsinis,*,*,*,*,67.06,*,*,,,,,,67.06
Anna,Garsten,66.88,*,*,*,*,*,*,,,,,,66.88
Martha ,Horst,*,*,66.85,*,*,*,*,,,,,,66.85
Abby,Horst,*,*,66.84,*,*,*,*,,,,,,66.84
Wanda,Feliciano-Medina,*,*,66.73,*,*,*,*,,,,,,66.73
Jacqueline,Colin,*,*,*,66.41,*,*,*,,,,,,66.41
Caitlin,Daly,65.77,*,*,*,*,*,*,,,,,,65.77
Becca,Middlen,*,*,65.37,*,*,*,*,,,,,,65.37
Doree,Jeffrey,64.89,*,*,*,*,*,*,,,,,,64.89
Rhonda,Ortiz,*,*,64.58,*,*,*,*,,,,,,64.58
Cindy,Bezanson,*,*,64.57,*,*,*,*,,,,,,64.57
Tina,Taylor,*,*,*,*,*,64.47,*,,,,,,64.47
Miranda,Livingston,64.35,*,*,*,*,*,*,,,,,,64.35
Jennifer,Kubrynski,*,*,*,*,63.49,*,*,,,,,,63.49
Michelle,McSally,*,*,63.29,*,*,*,*,,,,,,63.29
Alexandra,Kijonka,*,*,*,*,63.28,*,*,,,,,,63.28
Cindy,Scannell,*,*,*,*,*,63.02,*,,,,,,63.02
Teresa,Lawson,*,*,*,*,*,*,62.95,,,,,,62.95
Kerry,Davis-Amendola,*,*,*,*,62.9,*,*,,,,,,62.9
Aimee,Niemczyk,*,*,62.75,*,*,*,*,,,,,,62.75
Chelsea,Glissman,*,*,*,*,62.64,*,*,,,,,,62.64
Dana,Tokarzewski,*,*,*,*,*,*,62.44,,,,,,62.44
Tasha,Whited,62.37,*,*,*,*,*,*,,,,,,62.37
Abby,Doolittle,*,62.19,*,*,*,*,*,,,,,,62.19
Jessica,Weagle,*,*,61.96,*,*,*,*,,,,,,61.96
Marissa,Sprouls,*,*,61.7,*,*,*,*,,,,,,61.7
Bernadette,Derring,*,*,*,*,61.51,*,*,,,,,,61.51
Christine,Feder,*,61.34,*,*,*,*,*,,,,,,61.34
Shaina,Merrick,*,*,*,*,61.19,*,*,,,,,,61.19
Remi,Buxton,*,*,61.11,*,*,*,*,,,,,,61.11
Natalie,Marshall,*,*,61.02,*,*,*,*,,,,,,61.02
Olivia,Tebbetts,*,*,61.02,*,*,*,*,,,,,,61.02
Jessica,Marshall,*,*,61.01,*,*,*,*,,,,,,61.01
Anima,Slangen,*,*,*,*,60.89,*,*,,,,,,60.89
Maggie,Calcutt,*,*,*,*,60.52,*,*,,,,,,60.52
Annmarie,Bars,*,*,*,*,60.32,*,*,,,,,,60.32
Jaime,Prokop,*,*,*,*,60.32,*,*,,,,,,60.32
Annette,Florczak,*,59.82,*,*,*,*,*,,,,,,59.82
Becky,McAvoy,59.77,*,*,*,*,*,*,,,,,,59.77
Marla,Rycerz,59.6,*,*,*,*,*,*,,,,,,59.6
