First,Last,Traprock,Soapstone,Goodwin,NipSouth,Solstice,Peoples,Macedonia,T2ACure,Tunxis,NipMAr,Mohawk,Bimblers,Total
Zachary,Capron,*,*,46.89,*,,,,,,,,,46.89
David,Catarius,82.63,*,*,*,,,,,,,,,82.63
Dave,Champoux,*,72.05,*,80.98,,,,,,,,,72.05
Alexander,Ciccone,*,*,*,94.76,,,,,,,,,0
Donald,Clukies,*,*,34.97,,,,,,,,,,34.97
William,Connolly,*,*,*,84.77,,,,,,,,,0
Ted,Cowles,61.11,54.04,64.71,59.96,,,,,,,,,179.86
David,Cowles,*,*,*,90.12,,,,,,,,,0
Ed,Cox,56.12,*,*,,,,,,,,,,56.12
Brendan,Coyle,*,52.06,*,,,,,,,,,,52.06
Peter,Crowley,*,67.05,*,,,,,,,,,,67.05
Benny,Danaher,74.68,*,*,,,,,,,,,,74.68
Scott,Deslongchamps,*,*,42.72,,,,,,,,,,42.72
Ryan,Drake,73.48,*,*,,,,,,,,,,73.48
Michael,Drega,54.82,*,*,,,,,,,,,,54.82
Jay,Durand,64.73,*,*,,,,,,,,,,64.73
Jacob,Earp,*,55.92,*,62.57,,,,,,,,,55.92
Parker,Eason,67.91,*,*,,,,,,,,,,67.91
Brian,Edwards,*,*,*,46.05,,,,,,,,,0
Robert,Fahey,*,*,*,81.44,,,,,,,,,0
Steven,Fernandes,*,48.46,*,,,,,,,,,,48.46
David,Finegan,*,*,68.27,,,,,,,,,,68.27
Michael,Finn,*,*,33.73,,,,,,,,,,33.73
Braden,Fleming,*,*,59.27,,,,,,,,,,59.27
John,Flynn,85.67,*,*,,,,,,,,,,85.67
Ken,Forrest,*,*,*,62.49,,,,,,,,,0
Marcus,Franco,*,*,*,73.69,,,,,,,,,0
Jack,Fulton,*,*,51.33,44.85,,,,,,,,,51.33
Franklyn,Gandiaga,59.19,52.55,*,,,,,,,,,,111.74
Paul,Ghelfi,*,45.28,*,,,,,,,,,,45.28
Jeffrey,Gibbs,*,*,87.24,,,,,,,,,,87.24
Zack,Gladding,63.13,*,*,,,,,,,,,,63.13
Nicholas,Godau,75.61,*,82.99,,,,,,,,,,158.6
Adam,Golovizki,45.78,*,*,,,,,,,,,,45.78
Jay,Gorenski,*,51.14,*,55.52,,,,,,,,,51.14
Tim,Goric,*,80.23,*,*,,,,,,,,,80.23
Mike,Grudic,59.62,*,*,*,,,,,,,,,59.62
Pedro,Grullon,85.05,*,*,*,,,,,,,,,85.05
Alexander,Gumkowski,*,*,88.05,*,,,,,,,,,88.05
John,Haksteen,57.64,*,*,*,,,,,,,,,57.64
Dudley,Hamlin,40.63,*,*,*,,,,,,,,,40.63
Kevan,Hauver,70.34,*,*,*,,,,,,,,,70.34
Matthew,Henneberry,*,55.03,*,*,,,,,,,,,55.03
Pedro,Hervella,*,*,*,59.82,,,,,,,,,0
Andrew,Herzog,*,*,*,88.13,,,,,,,,,0
Stephen,Hill,*,*,*,66.75,,,,,,,,,0
Zachary,Hoblin,*,*,75.99,*,,,,,,,,,75.99
Marc,Hoffower,*,*,*,77.53,,,,,,,,,0
Paul,Homer,*,*,71.32,*,,,,,,,,,71.32
Douglas,Hook,38.12,*,*,*,,,,,,,,,38.12
David,Hoople,52.88,*,*,*,,,,,,,,,52.88
Andrew,Horn,69,*,*,*,,,,,,,,,69
David,Howland,58.53,*,*,*,,,,,,,,,58.53
Thomas,Hutchinson,*,44.61,*,*,,,,,,,,,44.61
David,Hyde,67.92,*,*,*,,,,,,,,,67.92
Ken,Isenstein,57.08,*,*,*,,,,,,,,,57.08
Robert,Jackman,84.25,*,*,*,,,,,,,,,84.25
Eddie,Jacovino,59.63,*,*,*,,,,,,,,,59.63
William,Jara,*,*,*,60.80,,,,,,,,,0
David,Jou,71.35,*,*,*,,,,,,,,,71.35
Gregory,Kaether,53.47,*,*,*,,,,,,,,,53.47
Dean,Kang,*,*,93.89,*,,,,,,,,,93.89
Bernard,Kelley,*,*,*,52.73,,,,,,,,,0
Jessie,Kenyon,*,43.71,*,*,,,,,,,,,43.71
Stephen,Kerr,*,98.97,*,*,,,,,,,,,98.97
Muhammad,Khan,65.85,*,*,*,,,,,,,,,65.85
Muhammad,Khan,*,*,*,61.11,,,,,,,,,0
John,Kreisher,58.6,*,*,*,,,,,,,,,58.6
Zachary,Kudlak,74.36,*,*,*,,,,,,,,,74.36
Stan,Kurzynski,*,*,38.98,*,,,,,,,,,38.98
M Karhu,Lammi,*,*,61.38,*,,,,,,,,,61.38
Ben,Lapointe,48.14,*,62.65,*,,,,,,,,,110.79
Steven,Laprise,*,*,54.2,*,,,,,,,,,54.2
Kyle,Lemoine,*,*,67.6,*,,,,,,,,,67.6
Scott,Leppert,39.27,*,*,*,,,,,,,,,39.27
Milton,Levin,*,*,59.71,*,,,,,,,,,59.71
Jameson,Liro,70.28,*,*,*,,,,,,,,,70.28
Shepard,Livingston,*,*,*,100.00,,,,,,,,,0
Jesus,Lopez,*,*,*,53.55,,,,,,,,,0
Paul,Lowicki,*,*,50.3,*,,,,,,,,,50.3
Sean,Lowther,*,*,*,61.36,,,,,,,,,0
Ben,Lundin,81.25,71.5,*,84.63,,,,,,,,,152.75
Peter,Maly,65.58,*,*,*,,,,,,,,,65.58
Joe,Manetta,*,*,71.95,*,,,,,,,,,71.95
Nick,Mangiameli,*,*,*,72.16,,,,,,,,,0
Matt,Mangold,*,*,*,60.16,,,,,,,,,0
Aaron,Manjur,*,*,54,*,,,,,,,,,54
Brad,Manning,*,*,*,59.60,,,,,,,,,0
Stephen,Marsalese,76.64,*,*,*,,,,,,,,,76.64
David,McArdle,*,*,*,58.38,,,,,,,,,0
Neil,McCarthy,73.57,*,*,*,,,,,,,,,73.57
Sean,McCarthy,63.26,*,*,*,,,,,,,,,63.26
Aidan,McGloine,*,*,74.01,*,,,,,,,,,74.01
Mark,McGuire,*,60.06,76.14,*,,,,,,,,,136.2
Patrick,McGuire,*,*,71.56,*,,,,,,,,,71.56
Rufino,Medina,*,*,66.96,*,,,,,,,,,66.96
Paul,Mertzlufft,56.66,*,*,*,,,,,,,,,56.66
Ryan,Miller,100,81.9,100,*,,,,,,,,,281.9
Michael,Miller,63.15,*,*,*,,,,,,,,,63.15
John,Minervino,*,68.75,*,*,,,,,,,,,68.75
Andy,Moore,*,*,60.97,*,,,,,,,,,60.97
Toby,Morgan,43.32,*,*,*,,,,,,,,,43.32
Kevin,Mullen,*,*,*,54.01,,,,,,,,,0
Eben,Nash,49.33,*,*,*,,,,,,,,,49.33
Andrew,Nepomuceno,54.78,*,*,*,,,,,,,,,54.78
Alden,Neuman,66.03,*,*,*,,,,,,,,,66.03
Andrew,Nigro,82.92,*,*,*,,,,,,,,,82.92
Filip,Nikolic,75.9,*,*,*,,,,,,,,,75.9
Peter,Olson,*,*,*,57.20,,,,,,,,,0
Devin,Oneil,51.85,*,*,*,,,,,,,,,51.85
Peter,Ouellette,47.17,*,*,*,,,,,,,,,47.17
Clint,Palermo,*,48.46,*,*,,,,,,,,,48.46
Kurt,Palmer,*,*,*,74.43,,,,,,,,,0
Ryan,Paris,64.46,*,*,*,,,,,,,,,64.46
James,Parrella,49.51,*,*,*,,,,,,,,,49.51
Michael,Pelland,72.1,*,*,70.51,,,,,,,,,72.1
Bradley,Pellissier,*,*,55.38,50.26,,,,,,,,,55.38
Sean,Perry,*,*,*,67.92,,,,,,,,,0
Ross,Petrone,59.7,*,*,*,,,,,,,,,59.7
Ambrose,Philipek,79.03,*,*,*,,,,,,,,,79.03
Zach,Plante,*,*,77.68,*,,,,,,,,,77.68
Jason,Pontz,52.52,*,*,*,,,,,,,,,52.52
Brenden,Pontz,45.8,*,*,*,,,,,,,,,45.8
Kevin,Prestage,66.16,*,*,*,,,,,,,,,66.16
